property_id,parcel_id,source_ids,sale_date,sale_value,assessed_land_value,assessed_building_value,assessed_total_value,tax_year,market_year,total_tax,use_classes,zoning,land_use,parcel_area_sqft,acres,year_built,finished_sqft,above_ground_area,below_ground_area,total_units,building_use
parcel-1602924440111,1602924440111,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,1999-11-01,475000.0,210900.0,1671100.0,1882000.0,2026,2025,,Industrial | Special Taxing Districts,Production Mixed Use,,42174.0,0.97,1952,,17528.0,,,Warehouse
parcel-1602924440146,1602924440146,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,783400.0,4876600.0,5660000.0,2026,2025,,Industrial | Public K-12 School Property,Production Mixed Use,,156672.0,3.6,1975,,75661.0,,,Food & Meat Process
parcel-1702823330015,1702823330015,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,83000.0,127000.0,210000.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 3,,6198.0,0.14,1923,,1141.0,,,Single Family House
parcel-1702823330055,1702823330055,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,123000.0,156200.0,279200.0,2026,2025,,Residential | Municipal Property,Corridor Mixed Use,,7294.0,0.17,1947,,1176.0,,,Single Family House
parcel-1702823340028,1702823340028,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,2015-06-01,202000.0,73000.0,,73000.0,2026,2025,,Vacant Land - Apartment | Municipal Property,Urban Neighborhood 3,,5576.0,0.13,,,,,,
parcel-1702823340034,1702823340034,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,2015-06-01,228000.0,76000.0,,76000.0,2026,2025,,Vacant Land - Apartment | Municipal Property,Residence Goods and Services,,6013.0,0.14,,,,,,
parcel-1702823340056,1702823340056,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,2009-05-01,60000.0,163200.0,783800.0,947000.0,2026,2025,,Apartment | Municipal Property,Urban Neighborhood 3,,10200.0,0.23,2018,,5792.0,,4,Apartment 6+ Unit
parcel-1702823340058,1702823340058,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,374900.0,955100.0,1330000.0,2026,2025,,Apartment | Municipal Property,Urban Neighborhood 3,,23432.0,0.55,2018,,5792.0,,4,Apartment 6+ Unit
parcel-1702823340059,1702823340059,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,2011-12-01,609518.0,354500.0,5464500.0,5819000.0,2026,2025,21566.0,Housing - Low Income > 3 Units,Residence Goods and Services,,52737.0,1.21,2012,,39159.0,13737.0,42,Apartment 6+ Unit
parcel-1702824220041,1702824220041,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,1999-11-01,219000.0,263000.0,232900.0,495900.0,2026,2025,,Double Bungalow | Special Taxing Districts,Urban Neighborhood 3,,8520.0,0.2,1947,,1620.0,1620.0,,Duplex
parcel-1702824320106,1702824320106,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,1988-01-01,39250.0,274000.0,119000.0,393000.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 1,,5113.0,0.12,1990,,1129.0,,,Single Family House
parcel-1702824330089,1702824330089,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,1988-05-01,35000.0,273000.0,185000.0,458000.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5043.0,0.12,1991,,1129.0,1129.0,,Single Family House
parcel-1702824330224,1702824330224,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,274000.0,141500.0,415500.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 1,,5063.0,0.12,1949,,1088.0,768.0,,Single Family House
